year,geography,age_group,sex,raw_education_column,value,age_harmonization_status,category_label_status
1999,新北市,35~39歲,男,itemvalue4,161210.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
1999,新北市,35~39歲,女,itemvalue4,170959.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
1999,新北市,40~44歲,計,itemvalue4,313796.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,40~44歲,男,itemvalue4,153124.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,40~44歲,女,itemvalue4,160672.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,45~49歲,計,itemvalue4,265454.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,45~49歲,男,itemvalue4,130643.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,45~49歲,女,itemvalue4,134811.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,50~54歲,計,itemvalue4,153687.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,50~54歲,男,itemvalue4,76584.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,50~54歲,女,itemvalue4,77103.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,55~59歲,計,itemvalue4,121066.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,55~59歲,男,itemvalue4,59840.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,55~59歲,女,itemvalue4,61226.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,60~64歲,計,itemvalue4,93229.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,60~64歲,男,itemvalue4,44558.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,60~64歲,女,itemvalue4,48671.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,65歲以上,計,itemvalue4,221465.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,65歲以上,男,itemvalue4,121761.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
1999,新北市,65歲以上,女,itemvalue4,99704.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,15歲以上總人口,計,itemvalue4,2812119.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,15歲以上總人口,男,itemvalue4,1409655.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,15歲以上總人口,女,itemvalue4,1402464.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,15~19歲,計,itemvalue4,316863.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
2000,新北市,15~19歲,男,itemvalue4,163400.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
2000,新北市,15~19歲,女,itemvalue4,153463.0,Proxy; includes 15-17 and misses age 18-only separation,raw header only; named education-degree label unavailable in source CSV
2000,新北市,20~24歲,計,itemvalue4,335945.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2000,新北市,20~24歲,男,itemvalue4,172462.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2000,新北市,20~24歲,女,itemvalue4,163483.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2000,新北市,25~29歲,計,itemvalue4,292197.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2000,新北市,25~29歲,男,itemvalue4,148509.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2000,新北市,25~29歲,女,itemvalue4,143688.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2000,新北市,30~34歲,計,itemvalue4,311059.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2000,新北市,30~34歲,男,itemvalue4,153265.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2000,新北市,30~34歲,女,itemvalue4,157794.0,Partial subset of 18-35,raw header only; named education-degree label unavailable in source CSV
2000,新北市,35~39歲,計,itemvalue4,333132.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
2000,新北市,35~39歲,男,itemvalue4,161325.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
2000,新北市,35~39歲,女,itemvalue4,171807.0,Proxy; includes 36-39,raw header only; named education-degree label unavailable in source CSV
2000,新北市,40~44歲,計,itemvalue4,318745.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,40~44歲,男,itemvalue4,155039.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,40~44歲,女,itemvalue4,163706.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,45~49歲,計,itemvalue4,282496.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,45~49歲,男,itemvalue4,138714.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,45~49歲,女,itemvalue4,143782.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,50~54歲,計,itemvalue4,176831.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
2000,新北市,50~54歲,男,itemvalue4,87638.0,Outside youth target or total,raw header only; named education-degree label unavailable in source CSV
