period,area,age_scope,harmonization_status,population
109年 10月,新北市,18-35,Exact,942897
109年 10月,新北市,15-29,Proxy / MOL survey comparator,716343
109年 10月,新北市,20-34,Partial subset,799334
109年 10月,新北市,15-39,Broad proxy,1322828
