period,roc_year,year,area,sex,population_18_35,age_scope,share_of_18_35_total
109年 10月,109,2020,新北市,女,457103,18-35 exact single-age sum,0.48478571890673106
109年 10月,109,2020,新北市,性別總計,942897,18-35 exact single-age sum,1.0
109年 10月,109,2020,新北市,男,485794,18-35 exact single-age sum,0.5152142810932689
