year,source_file,raw_column,inferred_age_group,sex,unemployment_rate_percent,age_harmonization_status,label_confidence
2012,ntpc_unemployment_rate_by_age.csv,item value16,55-59,male,2.2,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_unemployment_rate_by_age.csv,item value17,55-59,female,1.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_unemployment_rate_by_age.csv,item value18,60-64,male,2.3,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_unemployment_rate_by_age.csv,item value19,60-64,female,0.5,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_unemployment_rate_by_age.csv,item value20,65+,male,0.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2012,ntpc_unemployment_rate_by_age.csv,item value21,65+,female,1.4,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_unemployment_rate_by_age.csv,item value2,15-24,male,11.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_unemployment_rate_by_age.csv,item value3,15-24,female,8.8,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_unemployment_rate_by_age.csv,item value4,25-29,male,7.4,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_unemployment_rate_by_age.csv,item value5,25-29,female,6.2,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_unemployment_rate_by_age.csv,item value6,30-34,male,5.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_unemployment_rate_by_age.csv,item value7,30-34,female,3.3,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_unemployment_rate_by_age.csv,item value8,35-39,male,4.7,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2013,ntpc_unemployment_rate_by_age.csv,item value9,35-39,female,4.0,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
