year,source_file,raw_column,inferred_age_group,sex,employed_share_percent,age_harmonization_status,label_confidence
2007,ntpc_employed_age_structure.csv,percent20,65+,male,0.91,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2007,ntpc_employed_age_structure.csv,percent21,65+,female,0.4,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent2,15-24,male,6.62,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent3,15-24,female,10.13,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent4,25-29,male,14.33,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent5,25-29,female,18.05,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent6,30-34,male,14.72,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent7,30-34,female,16.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent8,35-39,male,14.33,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent9,35-39,female,14.68,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent10,40-44,male,14.13,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent11,40-44,female,14.16,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent12,45-49,male,13.93,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent13,45-49,female,12.47,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent14,50-54,male,11.26,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent15,50-54,female,8.83,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent16,55-59,male,7.31,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent17,55-59,female,4.03,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent18,60-64,male,2.47,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent19,60-64,female,1.04,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2008,ntpc_employed_age_structure.csv,percent20,65+,male,0.99,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
