candidate_name,district,official_benchmark_city,official_median_rent,commute_minutes,transfer_count,rent_saving_vs_neihu,is_pareto_efficient,dominated_by,destination,departure_time,route_summary
板橋站,板橋區,新北市,16000,43.2,1,3500,True,,港墘站,2026-08-24T08:00:00,MRT 板南線 (板橋->忠孝復興) | MRT 文湖線 (忠孝復興->港墘)
汐止車站,汐止區,新北市,14000,47.2,1,5500,True,,港墘站,2026-08-24T08:00:00,Bus 藍22 (汐止公園->捷運南港展覽館站(南港路)) | MRT 文湖線 (南港展覽館->港墘)
大坪林站,新店區,新北市,15500,50.8,1,4000,False,汐止車站,港墘站,2026-08-24T08:00:00,MRT 松山新店線 (大坪林->南京復興) | MRT 文湖線 (南京復興->港墘)
三重站,三重區,新北市,15000,51.7,1,4500,False,汐止車站,港墘站,2026-08-24T08:00:00,MRT 中和新蘆線 (三重->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工))
頂溪站,永和區,新北市,15000,51.7,1,4500,False,汐止車站,港墘站,2026-08-24T08:00:00,Bus 內科通勤專車2 (捷運頂溪站->基湖站) | MRT 文湖線 (西湖->港墘)
蘆洲站,蘆洲區,新北市,18500,53.8,1,1000,False,三重站; 大坪林站; 板橋站; 汐止車站; 頂溪站,港墘站,2026-08-24T08:00:00,MRT 中和新蘆線 (蘆洲->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工))
新莊站,新莊區,新北市,15700,61.3,1,3800,False,三重站; 大坪林站; 汐止車站; 頂溪站,港墘站,2026-08-24T08:00:00,MRT 中和新蘆線 (新莊->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工))
景安站,中和區,新北市,15000,63.8,1,4500,False,三重站; 汐止車站; 頂溪站,港墘站,2026-08-24T08:00:00,MRT 中和新蘆線 (景安->中山國小) | Bus 內湖幹線 (台泥大樓(馬偕醫院)->捷運港墘站(內湖高工))
