workplace_id,workplace_name,workplace_district,workplace_lat,workplace_lon,preference_mode,rank,candidate_name,district,lat,lon,rent,official_median_rent,commute_minutes,transfer_count,rent_saving_vs_neihu,preference_cost,preference_score,normalized_rent,normalized_commute,rent_weight,commute_weight,is_pareto_efficient,dominated_by,route_summary,livability_index,food_count,shopping_count,recreation_count,culture_count,medical_count,total_poi_count,normalized_livability,livability_cost,livability_weight
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,5,景安站,中和區,24.99392,121.505114,15000,15000,63.8,1,4500,0.3988470110320652,0.6011529889679348,0.5882352941176471,0.43006263048016696,0.2,0.2,False,汐止車站; 三重站; 頂溪站; 土城站,MRT 中和新蘆線 (景安->中山國小) | Bus 內湖幹線 (台泥大樓(馬偕醫院)->捷運港墘站(內湖高工)),0.5507050293729294,137.0,62.0,23.0,3.0,36.0,261.0,0.6746876231458293,0.3253123768541707,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,6,頂溪站,永和區,25.01308,121.515398,15000,15000,51.7,1,4500,0.41461896323546776,0.5853810367645322,0.5882352941176471,0.17745302713987476,0.2,0.2,False,汐止車站,Bus 內科通勤專車2 (捷運頂溪站->基湖站) | MRT 文湖線 (西湖->港墘),0.4653831131351945,132.0,54.0,27.0,4.0,16.0,233.0,0.5641978350267277,0.4358021649732723,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,7,淡水站,淡水區,25.167745,121.445805,10000,10000,67.8,1,9500,0.42037233821216785,0.5796276617878322,0.0,0.5135699373695198,0.2,0.2,True,,MRT 淡水信義線 (淡水->圓山) | Bus 內科快線1 (捷運圓山站->瑞光港墘路口),0.3930818053875408,218.0,31.0,25.0,3.0,11.0,288.0,0.4705694154362269,0.5294305845637731,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,8,三重站,三重區,25.05571,121.48422,15000,15000,51.7,1,4500,0.45479907946913245,0.5452009205308675,0.5882352941176471,0.17745302713987476,0.2,0.2,False,汐止車站,MRT 中和新蘆線 (三重->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工)),0.4136702720652767,82.0,48.0,30.0,5.0,12.0,177.0,0.49723097463728655,0.5027690253627135,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,9,汐止車站,汐止區,25.0679,121.66113,14000,14000,47.2,1,5500,0.4721295189251383,0.5278704810748617,0.47058823529411764,0.08350730688935283,0.2,0.2,True,,Bus 藍22 (汐止公園->捷運南港展覽館站(南港路)) | MRT 文湖線 (南港展覽館->港墘),0.336900483882445,67.0,41.0,22.0,5.0,12.0,147.0,0.3978159825192595,0.6021840174807405,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,10,泰山站,泰山區,25.05321,121.43943,10000,10000,68.6,1,9500,0.5640410330178061,0.43595896698219394,0.0,0.5302713987473903,0.2,0.2,False,淡水站,Bus 786 (捷運泰山站->泰山國中) | Bus 946副 (高公局->瑞光港墘路口),0.2124755489140318,60.0,18.0,26.0,3.0,12.0,119.0,0.23668874455278682,0.7633112554472132,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,11,新莊站,新莊區,25.03608,121.45218,15700,15700,61.3,1,3800,0.5965859450260047,0.4034140549739953,0.6705882352941176,0.3778705636743214,0.2,0.2,False,汐止車站; 大坪林站; 三重站; 頂溪站; 土城站,MRT 中和新蘆線 (新莊->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工)),0.3039735090174498,63.0,27.0,30.0,3.0,20.0,143.0,0.3551763579461384,0.6448236420538616,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,12,蘆洲站,蘆洲區,25.09152,121.46471,18500,18500,53.8,1,1000,0.6297883406844116,0.3702116593155884,1.0,0.2212943632567849,0.2,0.2,False,板橋站; 汐止車站; 大坪林站; 三重站; 頂溪站; 土城站,MRT 中和新蘆線 (蘆洲->民權西路) | Bus 內湖幹線 (大同公司(晴光市場)->捷運港墘站(內湖高工)),0.3057299350870118,104.0,36.0,33.0,2.0,5.0,180.0,0.35745088661157576,0.6425491133884242,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,13,土城站,土城區,24.97313,121.44432,14500,14500,53.6,1,5000,0.6327764373510243,0.3672235626489757,0.5294117647058824,0.21711899791231734,0.2,0.2,False,汐止車站,MRT 板南線 (土城->忠孝復興) | MRT 文湖線 (忠孝復興->港墘),0.1796775896012713,37.0,17.0,21.0,3.0,15.0,93.0,0.19421619195435935,0.8057838080456406,0.6
gangqian_neihu,港墘站,內湖,25.08007,121.57516,生活品質型,14,鶯歌車站,鶯歌區,24.95455,121.35517,14500,14500,71.7,1,5000,0.7437364250424856,0.2562635749575144,0.5294117647058824,0.594989561586639,0.2,0.2,False,汐止車站; 土城站; 樹林車站; 淡水站; 泰山站,TRA 新竹-基隆 (鶯歌->松山) | Bus 藍7 (玉成里->捷運港墘站(內湖高工)),0.1341350601295097,22.0,14.0,14.0,5.0,8.0,63.0,0.13523973369336442,0.8647602663066356,0.6
