candidate_name,poi_type,name,lat,lon,source
三峽北大特區,food,蒙古勾勾,24.9394238,121.3707506,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,全家便利商店,24.9462669,121.3741648,https://overpass-api.de/api/interpreter
三峽北大特區,recreation,大學劍橋社區健身房,24.9461307,121.3765147,https://overpass-api.de/api/interpreter
三峽北大特區,food,帝一美食,24.9458446,121.3749763,https://overpass-api.de/api/interpreter
三峽北大特區,food,石樽 新日本料理,24.9458668,121.375286,https://overpass-api.de/api/interpreter
三峽北大特區,food,井賀,24.9471267,121.3806872,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,全家便利商店,24.9458654,121.3781685,https://overpass-api.de/api/interpreter
三峽北大特區,recreation,大學風呂社區健身房,24.9468726,121.3776692,https://overpass-api.de/api/interpreter
三峽北大特區,food,山佳麵食坊 大義店,24.943844,121.3792809,https://overpass-api.de/api/interpreter
三峽北大特區,food,香港好棧燒臘小廚,24.94282,121.3793606,https://overpass-api.de/api/interpreter
三峽北大特區,food,GI GO GI 吉購吉 三峽北大店,24.9472439,121.3747535,https://overpass-api.de/api/interpreter
三峽北大特區,food,三峽冰鎮 北大店,24.9478902,121.3741094,https://overpass-api.de/api/interpreter
三峽北大特區,food,上米池上便當,24.9484362,121.374091,https://overpass-api.de/api/interpreter
三峽北大特區,food,丐幫滷味 北大分舵,24.9473007,121.3744079,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,全家便利商店,24.9475672,121.3742524,https://overpass-api.de/api/interpreter
三峽北大特區,food,大觀素苑,24.9471875,121.373527,https://overpass-api.de/api/interpreter
三峽北大特區,food,巧食雞複合式餐飲 三峽北大店,24.946419,121.3740324,https://overpass-api.de/api/interpreter
三峽北大特區,food,御炸坊 手作炸物,24.9473705,121.3734894,https://overpass-api.de/api/interpreter
三峽北大特區,food,憨吉朗 Brunch,24.9473374,121.3735067,https://overpass-api.de/api/interpreter
三峽北大特區,food,益柔廚房,24.9479614,121.3726748,https://overpass-api.de/api/interpreter
三峽北大特區,food,李記大腸蚵仔麵線,24.9478017,121.3728704,https://overpass-api.de/api/interpreter
三峽北大特區,food,樂芙漢堡,24.947408,121.3743554,https://overpass-api.de/api/interpreter
三峽北大特區,food,甘泉魚麵 三峽北大店,24.9474965,121.3742963,https://overpass-api.de/api/interpreter
三峽北大特區,food,頤園漢堡三明治,24.947521,121.3730849,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,美廉社,24.9479852,121.3740437,https://overpass-api.de/api/interpreter
三峽北大特區,food,舞子拉麵二代,24.9468424,121.3737618,https://overpass-api.de/api/interpreter
三峽北大特區,food,阿師炸雞屋,24.9474399,121.3731437,https://overpass-api.de/api/interpreter
三峽北大特區,culture,靜靜母親,24.9481033,121.3742635,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,7-Eleven,24.9465803,121.3747822,https://overpass-api.de/api/interpreter
三峽北大特區,food,五花馬水餃館 三峽大學門市,24.9424099,121.3758145,https://overpass-api.de/api/interpreter
三峽北大特區,shopping,7-Eleven,24.9421548,121.3729333,https://overpass-api.de/api/interpreter
三峽北大特區,food,蔚藍食府,24.9437937,121.3809124,https://overpass-api.de/api/interpreter
三峽北大特區,culture,新北市立圖書館三峽北大分館,24.9439699,121.3778243,https://overpass-api.de/api/interpreter
三峽北大特區,food,錢都日式刷刷鍋,24.9426408,121.3756549,https://overpass-api.de/api/interpreter
三峽北大特區,food,爭鮮迴轉壽司,24.9425795,121.3757215,https://overpass-api.de/api/interpreter
三峽北大特區,food,韓濤館韓式烤肉,24.9425272,121.3757496,https://overpass-api.de/api/interpreter
三峽北大特區,food,台越小吃店,24.9419326,121.3761181,https://overpass-api.de/api/interpreter
三峽北大特區,food,好粥到平價清粥小菜,24.9439733,121.3785994,https://overpass-api.de/api/interpreter
三峽北大特區,food,聯華港式燒臘,24.9434566,121.3766516,https://overpass-api.de/api/interpreter
三峽北大特區,food,定食8,24.9426091,121.3756994,https://overpass-api.de/api/interpreter
三峽北大特區,food,荻屋,24.9440789,121.3783412,https://overpass-api.de/api/interpreter
