city,station_uid,station_id,station_name_zh,station_name_en,lat,lon,station_address_zh,station_address_en,bikes_capacity,service_type,src_update_time,tdx_update_time,source_url
taipei,TPE500101020,500101020,YouBike2.0_溫州停車場,YouBike2.0_Wenzhou Parking Lot,25.02093000,121.53310000,新生南路三段54巷/溫州街口,"Ln. 54, Sec. 3, Xinsheng S. Rd. & Wenzhou St. Intersection",5,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101021,500101021,YouBike2.0_銘傳國小側門,YouBike2.0_Taipei Municipal MingChuan Elementary School(Side Gate),25.01385000,121.53549000,羅斯福路四段21號旁天橋下,"No. 21, Sec. 4, Roosevelt Rd.",7,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101022,500101022,YouBike2.0_捷運公館站(2號出口),YouBike2.0_MRT Gongguan Sta. (Exit 2),25.01491000,121.53438000,捷運公館站(2號出口)外側,MRT Gongguan Sta. (Exit 2),99,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101023,500101023,YouBike2.0_第二學生活動中心,YouBike2.0_2nd Student Activity Center,25.01244000,121.53661000,羅斯福路四段107號(西南側),"No. 107, Sec. 4, Roosevelt Rd.(Southwest)",87,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101024,500101024,YouBike2.0_臺灣科技大學正門,YouBike2.0_NTUST(Main Gate),25.01451000,121.54142000,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),"No. 43, Sec. 4, Keelung Rd.",50,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101025,500101025,YouBike2.0_臺灣科技大學側門,YouBike2.0_NTUST(Side Gate),25.01295000,121.53973000,基隆路四段73巷與基隆路口,"Ln. 73, Sec. 4, Keelung Rd. Intersection",97,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101026,500101026,YouBike2.0_公館公園,YouBike2.0_Gongguan Park,25.01137000,121.54062000,羅斯福路四段113巷基隆路四段41巷口,"Ln. 113, Sec. 4, Roosevelt Rd. & Ln. 41, Sec. 4, Keelung Rd. Intersection",51,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101027,500101027,YouBike2.0_臺灣科技大學後門,YouBike2.0_NTUST(Back Gate),25.01182000,121.54165000,基隆路四段41巷68弄臺科帆船大樓旁,"Aly. 68, Ln. 41, Sec. 4, Keelung Rd.",99,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101028,500101028,YouBike2.0_臺大醫學院附設癌醫中心,YouBike2.0_NTU Cancer Center,25.01426000,121.54382000,基隆路三段155巷57號西側,"No. 57, Ln. 155, Sec. 3, Keelung Rd.(West)",20,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
taipei,TPE500101029,500101029,YouBike2.0_臺大環研大樓,YouBike2.0_NTU Environment Research Building,25.01234000,121.54503000,芳蘭路/基隆路三段155巷口,"Fanglan Rd & Ln. 155, Sec. 3, Keelung Rd. Intersection",41,2,2026-09-04T13:28:04+08:00,2026-09-04T13:28:41+08:00,https://tdx.transportdata.tw/api/basic/v2/Bike/Station/City/Taipei
