candidate_name,district,lat,lon,radius_meters,food_count,shopping_count,recreation_count,culture_count,medical_count,total_poi_count,food_norm,shopping_norm,recreation_norm,culture_norm,medical_norm,equal_weight_livability_index
板橋站,板橋區,25.014098,121.462671,800,193,57,59,10,19,338,0.7307692307692307,0.8958333333333334,1.0,1.0,0.3829787234042553,0.8019162575013639
大坪林站,新店區,24.98272,121.54134,800,256,49,34,4,48,391,1.0,0.7291666666666666,0.45652173913043476,0.4,1.0,0.7171376811594202
樹林車站,樹林區,24.99123,121.42442,800,198,42,23,9,33,305,0.7521367521367521,0.5833333333333334,0.21739130434782608,0.9,0.6808510638297872,0.6267424907295398
三峽北大特區,三峽區,24.94489,121.37368,800,157,39,52,6,11,265,0.5769230769230769,0.5208333333333334,0.8478260869565217,0.6,0.2127659574468085,0.5516696909319481
景安站,中和區,24.99392,121.505114,800,137,62,23,3,36,261,0.49145299145299143,1.0,0.21739130434782608,0.3,0.7446808510638298,0.5507050293729294
頂溪站,永和區,25.01308,121.515398,800,132,54,27,4,16,233,0.4700854700854701,0.8333333333333334,0.30434782608695654,0.4,0.3191489361702128,0.46538311313519454
三重站,三重區,25.05571,121.48422,800,82,48,30,5,12,177,0.2564102564102564,0.7083333333333334,0.3695652173913043,0.5,0.23404255319148937,0.41367027206527673
淡水站,淡水區,25.167745,121.445805,800,218,31,25,3,11,288,0.8376068376068376,0.3541666666666667,0.2608695652173913,0.3,0.2127659574468085,0.39308180538754084
汐止車站,汐止區,25.0679,121.66113,800,67,41,22,5,12,147,0.19230769230769232,0.5625,0.1956521739130435,0.5,0.23404255319148937,0.33690048388244503
蘆洲站,蘆洲區,25.09152,121.46471,800,104,36,33,2,5,180,0.3504273504273504,0.4583333333333333,0.43478260869565216,0.2,0.0851063829787234,0.30572993508701185
新莊站,新莊區,25.03608,121.45218,800,63,27,30,3,20,143,0.1752136752136752,0.2708333333333333,0.3695652173913043,0.3,0.40425531914893614,0.3039735090174498
泰山站,泰山區,25.05321,121.43943,800,60,18,26,3,12,119,0.1623931623931624,0.08333333333333333,0.2826086956521739,0.3,0.23404255319148937,0.2124755489140318
土城站,土城區,24.97313,121.44432,800,37,17,21,3,15,93,0.0641025641025641,0.0625,0.17391304347826086,0.3,0.2978723404255319,0.17967758960127136
林口站,林口區,25.0658,121.36134,800,93,24,19,1,5,142,0.3034188034188034,0.20833333333333334,0.13043478260869565,0.1,0.0851063829787234,0.16545866046791116
鶯歌車站,鶯歌區,24.95455,121.35517,800,22,14,14,5,8,63,0.0,0.0,0.021739130434782608,0.5,0.14893617021276595,0.1341350601295097
五股區公所,五股區,25.082744,121.4383484,800,47,16,13,0,1,77,0.10683760683760683,0.041666666666666664,0.0,0.0,0.0,0.0297008547008547
