source_occupation_code,source_occupation_name,target_occupation_code,target_occupation_name,skill_similarity,transferable_skill_coverage,target_skill_gap,transition_span,feasibility_level,education_barrier,credential_barrier,training_experience_barrier,taxonomy_distance_level,market_validation,taiwanjobs_mapping_confidence,taiwanjobs_manual_review_needed,number_of_target_required_skills,number_of_already_covered_skills,number_of_partially_covered_skills,number_of_missing_skills,number_of_gap_skills,number_of_trainable_skills_found,number_of_trainable_missing_skills_found,training_coverage_ratio,gap_skill_training_coverage_ratio,matched_course_count,matched_courses,total_training_hours,estimated_direct_course_cost,subsidy_information,evening_weekend_or_schedule_information,possible_income_interruption,already_covered_skills,partially_covered_skills,missing_skills,trainable_missing_skills_found,learning_plan_phase_1_foundational_skills,learning_plan_phase_2_domain_technical_skills,learning_plan_phase_3_portfolio_job_preparation,learning_burden_level,limitation,scenario_3m_trainable_missing_skills,scenario_3m_training_coverage_ratio,scenario_3m_training_hours,scenario_3m_direct_course_cost,scenario_3m_feasibility_estimate,scenario_6m_trainable_missing_skills,scenario_6m_training_coverage_ratio,scenario_6m_training_hours,scenario_6m_direct_course_cost,scenario_6m_feasibility_estimate,scenario_12m_trainable_missing_skills,scenario_12m_training_coverage_ratio,scenario_12m_training_hours,scenario_12m_direct_course_cost,scenario_12m_feasibility_estimate
29-1141.00,Registered Nurses,15-1211.01,Health Informatics Specialists,0.978606,0.910283,0.315,Partial skill reuse,Bridge candidate,high,low,low,Distant category,Moderate,Medium,yes,33,22,8,3,11,1,1,0.333,0.091,1,171272 Python與AI應用於資料庫分析班,30.0,5860.0,unknown,unknown,unknown,"English Language (knowledge, gap 0.0); Writing (essential_skill, gap 0.25); Critical Thinking (essential_skill, gap 0.0); Active Listening (essential_skill, gap 0.0); Speaking (essential_skill, gap 0.0); Judgment and Decision Making (transferable_skill, gap 0.0); Active Learning (essential_skill, gap 0.25); Medicine and Dentistry (knowledge, gap 0.0); Monitoring (essential_skill, gap 0.0); Customer and Personal Service (knowledge, gap 0.0); Coordination (transferable_skill, gap 0.0); Administration and Management (knowledge, gap 0.19); ... +10 more","Systems Analysis (transferable_skill, gap 0.75); Systems Evaluation (transferable_skill, gap 0.75); Complex Problem Solving (transferable_skill, gap 0.62); Reading Comprehension (essential_skill, gap 0.5); Learning Strategies (essential_skill, gap 0.5); Management of Personnel Resources (transferable_skill, gap 0.5); Education and Training (knowledge, gap 0.47); Time Management (transferable_skill, gap 0.26)","Design (knowledge, gap 1.9); Computers and Electronics (knowledge, gap 1.61); Engineering and Technology (knowledge, gap 1.59)",Computers and Electronics,"Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)","Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)","Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)",high,TaiwanJobs mapping requires manual review,1,0.333,30.0,5860.0,limited missing-skill coverage in window,1,0.333,30.0,5860.0,limited missing-skill coverage in window,1,0.333,30.0,5860.0,limited missing-skill coverage in window
29-1141.00,Registered Nurses,15-2051.02,Clinical Data Managers,0.97776,0.939341,0.2095,Partial skill reuse,Bridge candidate,low,low,low,Distant category,Moderate,Medium,yes,23,18,3,2,5,3,2,1.0,0.6,3,174133 AI應用Power BI智慧商業數據分析實務班; 171493 Python與PyTorch神經網路訓練實作班; 171272 Python與AI應用於資料庫分析班,108.0,21430.0,unknown,unknown,unknown,"English Language (knowledge, gap 0.0); Critical Thinking (essential_skill, gap 0.0); Active Listening (essential_skill, gap 0.0); Reading Comprehension (essential_skill, gap 0.0); Speaking (essential_skill, gap 0.0); Writing (essential_skill, gap 0.0); Customer and Personal Service (knowledge, gap 0.0); Active Learning (essential_skill, gap 0.12); Monitoring (essential_skill, gap 0.0); Complex Problem Solving (transferable_skill, gap 0.0); Coordination (transferable_skill, gap 0.0); Judgment and Decision Making (transferable_skill, gap 0.0); ... +6 more","Mathematics (essential_skill, gap 0.62); Management of Personnel Resources (transferable_skill, gap 0.38); Time Management (transferable_skill, gap 0.26)","Programming (transferable_skill, gap 1.63); Computers and Electronics (knowledge, gap 1.36)",Computers and Electronics; Programming,"AI應用Power BI智慧商業數據分析實務班 (36h, maps Mathematics); Python與PyTorch神經網路訓練實作班 (42h, maps Programming); Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)","Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)","AI應用Power BI智慧商業數據分析實務班 (36h, maps Mathematics); Python與PyTorch神經網路訓練實作班 (42h, maps Programming); Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)",medium,TaiwanJobs mapping requires manual review,2,1.0,72.0,14060.0,most missing skills have matched courses in window,2,1.0,72.0,14060.0,most missing skills have matched courses in window,2,1.0,72.0,14060.0,most missing skills have matched courses in window
29-1141.00,Registered Nurses,11-9121.01,Clinical Research Coordinators,0.985976,0.974813,0.088704,High skill reuse,Adjacent candidate,low,low,low,Distant category,Moderate,Medium,yes,22,20,2,0,2,0,0,1.0,0.0,0,,0.0,0.0,unknown,unknown,unknown,"Customer and Personal Service (knowledge, gap 0.0); Writing (essential_skill, gap 0.25); Reading Comprehension (essential_skill, gap 0.12); Active Listening (essential_skill, gap 0.0); Speaking (essential_skill, gap 0.0); Coordination (transferable_skill, gap 0.0); English Language (knowledge, gap 0.0); Critical Thinking (essential_skill, gap 0.0); Administrative (knowledge, gap 0.18); Complex Problem Solving (transferable_skill, gap 0.12); Judgment and Decision Making (transferable_skill, gap 0.0); Monitoring (essential_skill, gap 0.0); ... +8 more","Management of Personnel Resources (transferable_skill, gap 0.88); Time Management (transferable_skill, gap 0.38)",,,unknown: no matched course evidence,unknown: no matched course evidence,unknown: no matched course evidence,low,TaiwanJobs mapping requires manual review,0,1.0,0.0,0.0,no missing skill gap,0,1.0,0.0,0.0,no missing skill gap,0,1.0,0.0,0.0,no missing skill gap
29-1141.00,Registered Nurses,29-2072.00,Medical Records Specialists,0.974376,0.970946,0.111333,Partial skill reuse,Bridge candidate,unknown,low,low,Adjacent category,Moderate,Medium,yes,17,15,2,0,2,1,0,1.0,0.5,1,171272 Python與AI應用於資料庫分析班,30.0,5860.0,unknown,unknown,unknown,"English Language (knowledge, gap 0.0); Customer and Personal Service (knowledge, gap 0.0); Reading Comprehension (essential_skill, gap 0.0); Critical Thinking (essential_skill, gap 0.0); Administration and Management (knowledge, gap 0.04); Active Listening (essential_skill, gap 0.0); Speaking (essential_skill, gap 0.0); Time Management (transferable_skill, gap 0.0); Writing (essential_skill, gap 0.0); Active Learning (essential_skill, gap 0.0); Complex Problem Solving (transferable_skill, gap 0.0); Judgment and Decision Making (transferable_skill, gap 0.0); ... +3 more","Computers and Electronics (knowledge, gap 0.93); Administrative (knowledge, gap 0.7)",,,"Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)","Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)","Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)",low,TaiwanJobs mapping requires manual review,0,1.0,0.0,0.0,no missing skill gap,0,1.0,0.0,0.0,no missing skill gap,0,1.0,0.0,0.0,no missing skill gap
29-1141.00,Registered Nurses,15-2099.01,Bioinformatics Technicians,0.962227,0.883155,0.460463,Partial skill reuse,Bridge candidate,medium,low,low,Distant category,Moderate,Medium,yes,19,14,2,3,5,5,3,1.0,1.0,4,174133 AI應用Power BI智慧商業數據分析實務班; 171493 Python與PyTorch神經網路訓練實作班; 171272 Python與AI應用於資料庫分析班; 173561 Python網路爬蟲與資料分析實務班,153.0,29830.0,unknown,unknown,unknown,"English Language (knowledge, gap 0.0); Reading Comprehension (essential_skill, gap 0.0); Active Learning (essential_skill, gap 0.0); Active Listening (essential_skill, gap 0.0); Complex Problem Solving (transferable_skill, gap 0.0); Critical Thinking (essential_skill, gap 0.0); Judgment and Decision Making (transferable_skill, gap 0.0); Writing (essential_skill, gap 0.0); Speaking (essential_skill, gap 0.0); Systems Analysis (transferable_skill, gap 0.25); Monitoring (essential_skill, gap 0.0); Science (essential_skill, gap 0.24); ... +2 more","Biology (knowledge, gap 0.78); Mathematics (essential_skill, gap 0.5)","Computers and Electronics (knowledge, gap 2.18); Programming (transferable_skill, gap 1.5); Mathematics (knowledge, gap 1.07)",Computers and Electronics; Mathematics; Programming,"AI應用Power BI智慧商業數據分析實務班 (36h, maps Mathematics); Python與PyTorch神經網路訓練實作班 (42h, maps Programming); Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics); Python網路爬蟲與資料分析實務班 (45h, maps Biology)","Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)","AI應用Power BI智慧商業數據分析實務班 (36h, maps Mathematics); Python與PyTorch神經網路訓練實作班 (42h, maps Programming); Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)",medium,TaiwanJobs mapping requires manual review,3,1.0,108.0,21430.0,most missing skills have matched courses in window,3,1.0,108.0,21430.0,most missing skills have matched courses in window,3,1.0,108.0,21430.0,most missing skills have matched courses in window
29-1141.00,Registered Nurses,15-2051.00,Data Scientists,0.948126,0.844401,0.580694,Major reskilling,Bridge candidate,unknown,low,low,Distant category,Moderate,Medium,yes,15,11,0,4,4,4,4,1.0,1.0,2,171464 Python資料科學大數據處理應用班; 171272 Python與AI應用於資料庫分析班,75.0,14610.0,unknown,unknown,unknown,"Critical Thinking (essential_skill, gap 0.25); Reading Comprehension (essential_skill, gap 0.0); Complex Problem Solving (transferable_skill, gap 0.25); Active Learning (essential_skill, gap 0.12); Speaking (essential_skill, gap 0.0); Active Listening (essential_skill, gap 0.0); Writing (essential_skill, gap 0.0); Judgment and Decision Making (transferable_skill, gap 0.0); Monitoring (essential_skill, gap 0.0); English Language (knowledge, gap 0.0); Time Management (transferable_skill, gap 0.0)",,"Programming (transferable_skill, gap 2.13); Computers and Electronics (knowledge, gap 1.65); Mathematics (essential_skill, gap 1.5); Mathematics (knowledge, gap 1.09)",Computers and Electronics; Mathematics; Programming,"Python資料科學大數據處理應用班 (45h, maps Mathematics); Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)","Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)","Python資料科學大數據處理應用班 (45h, maps Mathematics); Python與AI應用於資料庫分析班 (30h, maps Computers and Electronics)",high,TaiwanJobs mapping requires manual review,4,1.0,75.0,14610.0,most missing skills have matched courses in window,4,1.0,75.0,14610.0,most missing skills have matched courses in window,4,1.0,75.0,14610.0,most missing skills have matched courses in window
