phase5_evidence_rank,candidate_generation_rank,source_occupation_code,source_occupation_name,target_domain,target_occupation_code,target_occupation_name,target_occupation_description,candidate_generation_method,target_domain_primary_signal,target_domain_retrieval_score,target_domain_strong_hits,target_domain_health_hits,target_domain_service_hits,target_domain_business_hits,target_domain_title_alias_hits,target_domain_evidence_fields,skill_similarity,transferable_skill_coverage,target_skill_gap,transition_span,related_support,related_tier,related_index,source_job_zone,target_job_zone,job_zone_difference,source_modal_education,target_modal_education,education_barrier,education_barrier_notes,training_experience_barrier,training_experience_barrier_notes,credential_barrier,same_major_group,same_occupation_family,onet_related_support,taxonomy_distance_level,already_covered_skills,partially_covered_skills,missing_skills,job_mapping_method,job_mapping_positive_aliases,job_mapping_review_reason,taiwanjobs_high_relevance_job_count,taiwanjobs_medium_relevance_job_count,total_demand_persons_high,salary_lower_median_high,salary_upper_median_high,salary_basis,education_requirement_distribution_high,experience_requirement_distribution_high,main_job_locations_high,taiwan_market_evidence,high_relevance_job_examples,medium_relevance_job_examples,number_of_missing_skills,number_of_trainable_missing_skills_found,training_coverage_ratio_missing_skills,training_course_count,total_training_hours,estimated_direct_course_cost,subsidy_information,scheduling_information,matched_training_courses,training_availability,learning_burden,feasibility_flag,feasibility_level,feasibility_notes,interpretation_note
1,5,29-1141.00,Registered Nurses,Beauty / Aesthetic / Personal Care,39-1022.00,First-Line Supervisors of Personal Service Workers,Supervise and coordinate activities of personal service workers.,deterministic_onet_beauty_domain_keyword_retrieval_phase5,beauty_service_management,41.2,barber; beauty; beauty shop manager; spa; spa coordinator,care; hair,appearance; salon,beauty shop manager; spa coordinator,beauty shop manager; spa coordinator; barber; beauty; spa,tasks; alternate_titles,0.983001,0.935094,0.242315,High skill reuse,no,,,4,3,-1,Bachelor's Degree,Associate's Degree or other 2-year degree,low,no major upward education signal,low,related work experience +0.9 categories,low,no,no,no,Distant category,"Negotiation (transferable_skill, gap 0.25); English Language (knowledge, gap 0.12); Active Listening (essential_skill, gap 0.0); Critical Thinking (essential_skill, gap 0.0); Psychology (knowledge, gap 0.0); Speaking (essential_skill, gap 0.0); Social Perceptiveness (transferable_skill, gap 0.0); Coordination (transferable_skill, gap 0.0); ... +12 more","Administration and Management (knowledge, gap 0.93); Computers and Electronics (knowledge, gap 0.82); Public Safety and Security (knowledge, gap 0.71); Time Management (transferable_skill, gap 0.63); Persuasion (transferable_skill, gap 0.62); Education and Training (knowledge, gap 0.41); Customer and Personal Service (knowledge, gap 0.39)","Personnel and Human Resources (knowledge, gap 1.19); Management of Personnel Resources (transferable_skill, gap 1.13)",deterministic_taiwanjobs_job_level_beauty_alias_relevance_phase5,SPA; spa; 芳療; 美容; 美體; 美容諮詢師; 主管; 店長; 管理; 營運; 諮詢; 客戶,Spa/beauty management may appear as service staff in TaiwanJobs; management fit requires review.,0,0,0,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,,,,Insufficient public evidence,,,2,1,0.5,8,529.0,119860.0,unknown,unknown,"香氛保養品調製與化妝品PIF安全建置實務班 (54h, 10500 TWD, High); 保養品與美容皂配方設計班 (78h, 16000 TWD, High); 癒手舒活spa芳療班 (66h, 15700 TWD, High); 挽臉美容專業人員實務班 (45h, 11800 TWD, Medium); 美容技能應用班 (70h, 16660 TWD, Medium); 美容師從業員培訓班 (72h, 15000 TWD, Medium); 美容技術指導師培訓班 (72h, 17100 TWD, Medium); 美容肌膚進階技能實務班 (72h, 17100 TWD, Medium)",Strong,medium,candidate,Adjacent candidate,Uses nursing care/domain knowledge with no major upward education signal.,"Strongest reuse comes from clinical care and client trust, but Taiwan role localization still needs evidence."
2,2,29-1141.00,Registered Nurses,Beauty / Aesthetic / Personal Care,39-5012.00,"Hairdressers, Hairstylists, and Cosmetologists","Provide beauty services, such as cutting, coloring, and styling hair, and massaging and treating scalp. May shampoo hair, apply makeup, dress wigs, remove hair, and provide nail and skincare services.",deterministic_onet_beauty_domain_keyword_retrieval_phase5,beauty_personal_care_service,78.7,beauty; beauty advisor; beauty specialist; cosmetologist; hair; hairdresser; hairstylist; makeup artist; skincare,care; hair; skin,appearance; cosmetic; massage; shampoo; facial; makeup; salon; scalp; nail,,beauty specialist; beauty advisor; cosmetologist; makeup artist; hairdresser; hairstylist; beauty,description; tasks; alternate_titles,0.971967,0.952281,0.182667,Major reskilling,no,,,4,3,-1,Bachelor's Degree,unknown,unknown,no O*NET required-level-of-education distribution available,low,no major upward training/experience signal,high,no,no,no,Distant category,"Administration and Management (knowledge, gap 0.05); Education and Training (knowledge, gap 0.02); Active Listening (essential_skill, gap 0.0); Speaking (essential_skill, gap 0.0); English Language (knowledge, gap 0.0); Service Orientation (transferable_skill, gap 0.0); Critical Thinking (essential_skill, gap 0.0); Active Learning (essential_skill, gap 0.0); ... +6 more","Customer and Personal Service (knowledge, gap 0.34)","Sales and Marketing (knowledge, gap 2.33)",deterministic_taiwanjobs_job_level_beauty_alias_relevance_phase5,美髮; 髮型; 剪髮; 燙染; 染髮; 培訓設計師; 美髮助理; 美髮設計師; 沙龍; 造型; 設計師; 洗髮; 剪染; 技術員,,16,0,33,29500,32500,monthly_only_excludes_hourly_daily_piece_and_negotiated,不拘:15; 高職:1,2年以上:10; 1年以上:5; 無:1,台北市松山區:5; 台北市信義區:3; 台北市大同區:3; 台北市內湖區:2; 台北市萬華區:1; 台北市文山區:1; 台北市中山區:1,Strong,培訓設計師 | 景美景華精剪屋 | 台北市松山區 | 月薪 29500-30000 | 1.本科系畢或二年以上助理經驗或準師經驗(有染、洗髮基礎)。 2.若技術不足需接受公司委外培訓課程 (課程另行繳費，工具請自備，另公司有配合的訓練單位協會廠商)。  | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2436107&HIRE_ID=13927177 || 美髮助理 | 台灣施舒雅美容世界股份有限公司 | 台北市信義區 | 月薪 29500-35000 | 1.美髮助理相關工作 2.洗髮.染髮.燙髮.剪髮等美髮服務工作 上班地點：均在百貨公司內，交通便利、鄰近捷運站，環境優雅 北區有信義新天地A4、SOGO】忠孝店、敦南店 待遇月薪2... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=65243&HIRE_ID=13735953 || 美髮培訓生 | 唯萬華快速剪髮屋 | 台北市萬華區 | 月薪 29500-29500 | 1.本科系畢或一年以上沙龍助理經驗(有染、洗髮基礎)，但缺乏實務經驗者。 2.協助染髮、洗髮、髮品銷售、迎賓送客、門市環境維護。 3.需接受公司委外培訓課程，公司另有配合的訓練單位... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2435771&HIRE_ID=13926637 || 美髮設計師 | 唯重慶快速剪髮屋 | 台北市大同區 | 月薪 29500-60000 | 專業剪髮、染髮，著重服務品質 | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1054082&HIRE_ID=14048775 || 美髮培訓生 | 景美景華精剪屋 | 台北市松山區 | 月薪 29500-29500 | 1.本科系畢或一年以上沙龍助理經驗(有染、洗髮基礎)，但缺乏實務經驗者。 2.協助染髮、洗髮、髮品銷售、迎賓送客、門市環境維護。 3.需接受公司委外培訓課程，公司另有配合的訓練單位... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2436107&HIRE_ID=13927491,,1,1,1.0,3,202.0,49650.0,unknown,unknown,"美髮剪燙染應用班 (77h, 18320 TWD, Medium); 時尚美髮設計班 (47h, 12800 TWD, Medium); 時尚剪染美髮流行趨勢進階班 (78h, 18530 TWD, Medium)",Moderate,medium,review,Bridge candidate,Partial skill reuse or preparation uncertainty; needs training and Taiwan market validation.,Low skill similarity should not exclude this path; treat it as a user-driven major-reskilling option if training and market evidence are present.
3,7,29-1141.00,Registered Nurses,Beauty / Aesthetic / Personal Care,39-5011.00,Barbers,"Provide barbering services, such as cutting, trimming, shampooing, and styling hair; trimming beards; or giving shaves.",deterministic_onet_beauty_domain_keyword_retrieval_phase5,beauty_personal_care_service,35.2,barber; hair,care; hair; skin,cosmetic; shampoo; scalp; nail,,barber,description; tasks; alternate_titles,0.973096,0.958879,0.14125,Major reskilling,no,,,4,3,-1,Bachelor's Degree,unknown,unknown,no O*NET required-level-of-education distribution available,low,no major upward training/experience signal,high,no,no,no,Distant category,"Education and Training (knowledge, gap 0.25); Customer and Personal Service (knowledge, gap 0.0); English Language (knowledge, gap 0.0); Active Listening (essential_skill, gap 0.0); Speaking (essential_skill, gap 0.0); Social Perceptiveness (transferable_skill, gap 0.0); Administration and Management (knowledge, gap 0.0)","Law and Government (knowledge, gap 0.75); Chemistry (knowledge, gap 0.49); Public Safety and Security (knowledge, gap 0.31)","Sales and Marketing (knowledge, gap 1.59)",deterministic_taiwanjobs_job_level_beauty_alias_relevance_phase5,美髮; 髮型; 剪髮; 燙染; 染髮; 培訓設計師; 美髮助理; 美髮設計師; 沙龍; 造型; 設計師; 洗髮; 剪染; 技術員,,16,0,33,29500,32500,monthly_only_excludes_hourly_daily_piece_and_negotiated,不拘:15; 高職:1,2年以上:10; 1年以上:5; 無:1,台北市松山區:5; 台北市信義區:3; 台北市大同區:3; 台北市內湖區:2; 台北市萬華區:1; 台北市文山區:1; 台北市中山區:1,Strong,培訓設計師 | 景美景華精剪屋 | 台北市松山區 | 月薪 29500-30000 | 1.本科系畢或二年以上助理經驗或準師經驗(有染、洗髮基礎)。 2.若技術不足需接受公司委外培訓課程 (課程另行繳費，工具請自備，另公司有配合的訓練單位協會廠商)。  | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2436107&HIRE_ID=13927177 || 美髮助理 | 台灣施舒雅美容世界股份有限公司 | 台北市信義區 | 月薪 29500-35000 | 1.美髮助理相關工作 2.洗髮.染髮.燙髮.剪髮等美髮服務工作 上班地點：均在百貨公司內，交通便利、鄰近捷運站，環境優雅 北區有信義新天地A4、SOGO】忠孝店、敦南店 待遇月薪2... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=65243&HIRE_ID=13735953 || 美髮培訓生 | 唯萬華快速剪髮屋 | 台北市萬華區 | 月薪 29500-29500 | 1.本科系畢或一年以上沙龍助理經驗(有染、洗髮基礎)，但缺乏實務經驗者。 2.協助染髮、洗髮、髮品銷售、迎賓送客、門市環境維護。 3.需接受公司委外培訓課程，公司另有配合的訓練單位... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2435771&HIRE_ID=13926637 || 美髮設計師 | 唯重慶快速剪髮屋 | 台北市大同區 | 月薪 29500-60000 | 專業剪髮、染髮，著重服務品質 | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1054082&HIRE_ID=14048775 || 美髮培訓生 | 景美景華精剪屋 | 台北市松山區 | 月薪 29500-29500 | 1.本科系畢或一年以上沙龍助理經驗(有染、洗髮基礎)，但缺乏實務經驗者。 2.協助染髮、洗髮、髮品銷售、迎賓送客、門市環境維護。 3.需接受公司委外培訓課程，公司另有配合的訓練單位... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2436107&HIRE_ID=13927491,,1,1,1.0,3,202.0,49650.0,unknown,unknown,"美髮剪燙染應用班 (77h, 18320 TWD, Medium); 時尚美髮設計班 (47h, 12800 TWD, Medium); 時尚剪染美髮流行趨勢進階班 (78h, 18530 TWD, Medium)",Moderate,medium,review,Bridge candidate,Partial skill reuse or preparation uncertainty; needs training and Taiwan market validation.,Low skill similarity should not exclude this path; treat it as a user-driven major-reskilling option if training and market evidence are present.
4,10,29-1141.00,Registered Nurses,Beauty / Aesthetic / Personal Care,39-5093.00,Shampooers,Shampoo and rinse customers' hair.,deterministic_onet_beauty_domain_keyword_retrieval_phase5,beauty_personal_care_service,22.2,hair,hair,massage; shampoo; salon; scalp,,,description; tasks,0.971309,0.961583,0.147778,Major reskilling,no,,,4,2,-2,Bachelor's Degree,Post-Secondary Certificate,low,no major upward education signal,low,no major upward training/experience signal,low,no,no,no,Distant category,"Customer and Personal Service (knowledge, gap 0.0); English Language (knowledge, gap 0.0); Speaking (essential_skill, gap 0.0); Active Listening (essential_skill, gap 0.0); Service Orientation (transferable_skill, gap 0.0)",,"Sales and Marketing (knowledge, gap 1.33)",deterministic_taiwanjobs_job_level_beauty_alias_relevance_phase5,美髮; 髮型; 剪髮; 燙染; 染髮; 培訓設計師; 美髮助理; 美髮設計師; 沙龍; 造型; 設計師; 洗髮; 剪染; 技術員,,16,0,33,29500,32500,monthly_only_excludes_hourly_daily_piece_and_negotiated,不拘:15; 高職:1,2年以上:10; 1年以上:5; 無:1,台北市松山區:5; 台北市信義區:3; 台北市大同區:3; 台北市內湖區:2; 台北市萬華區:1; 台北市文山區:1; 台北市中山區:1,Strong,培訓設計師 | 景美景華精剪屋 | 台北市松山區 | 月薪 29500-30000 | 1.本科系畢或二年以上助理經驗或準師經驗(有染、洗髮基礎)。 2.若技術不足需接受公司委外培訓課程 (課程另行繳費，工具請自備，另公司有配合的訓練單位協會廠商)。  | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2436107&HIRE_ID=13927177 || 美髮助理 | 台灣施舒雅美容世界股份有限公司 | 台北市信義區 | 月薪 29500-35000 | 1.美髮助理相關工作 2.洗髮.染髮.燙髮.剪髮等美髮服務工作 上班地點：均在百貨公司內，交通便利、鄰近捷運站，環境優雅 北區有信義新天地A4、SOGO】忠孝店、敦南店 待遇月薪2... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=65243&HIRE_ID=13735953 || 美髮培訓生 | 唯萬華快速剪髮屋 | 台北市萬華區 | 月薪 29500-29500 | 1.本科系畢或一年以上沙龍助理經驗(有染、洗髮基礎)，但缺乏實務經驗者。 2.協助染髮、洗髮、髮品銷售、迎賓送客、門市環境維護。 3.需接受公司委外培訓課程，公司另有配合的訓練單位... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2435771&HIRE_ID=13926637 || 美髮設計師 | 唯重慶快速剪髮屋 | 台北市大同區 | 月薪 29500-60000 | 專業剪髮、染髮，著重服務品質 | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=1054082&HIRE_ID=14048775 || 美髮培訓生 | 景美景華精剪屋 | 台北市松山區 | 月薪 29500-29500 | 1.本科系畢或一年以上沙龍助理經驗(有染、洗髮基礎)，但缺乏實務經驗者。 2.協助染髮、洗髮、髮品銷售、迎賓送客、門市環境維護。 3.需接受公司委外培訓課程，公司另有配合的訓練單位... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2436107&HIRE_ID=13927491,,1,1,1.0,3,202.0,49650.0,unknown,unknown,"美髮剪燙染應用班 (77h, 18320 TWD, Medium); 時尚美髮設計班 (47h, 12800 TWD, Medium); 時尚剪染美髮流行趨勢進階班 (78h, 18530 TWD, Medium)",Moderate,medium,review,Major-reskilling path,"Low O*NET skill reuse, but education/preparation barrier appears low enough to keep for user-driven cross-domain exploration.",Low skill similarity should not exclude this path; treat it as a user-driven major-reskilling option if training and market evidence are present.
5,1,29-1141.00,Registered Nurses,Beauty / Aesthetic / Personal Care,39-5094.00,Skincare Specialists,Provide skincare treatments to face and body to enhance an individual's appearance. Includes electrologists and laser hair removal specialists.,deterministic_onet_beauty_domain_keyword_retrieval_phase5,beauty_personal_care_service,88.2,aesthetic; beauty; clinical esthetician; esthetician; hair; laser hair removal; medical esthetician; skincare; spa; spa technician,laser hair removal; electrologist; care; hair; skin,appearance; cosmetic; facial; makeup,,clinical esthetician; medical esthetician; spa technician; esthetician; aesthetic; skincare; beauty; spa,title; description; tasks; alternate_titles,0.979333,0.956694,0.155714,Partial skill reuse,no,,,4,3,-1,Bachelor's Degree,High School Diploma or the equivalent (such as a GED),low,professional certification importance 4.32,low,no major upward training/experience signal,medium,no,no,no,Distant category,"Customer and Personal Service (knowledge, gap 0.0); Speaking (essential_skill, gap 0.0); Service Orientation (transferable_skill, gap 0.0); Active Listening (essential_skill, gap 0.0); English Language (knowledge, gap 0.0); Administrative (knowledge, gap 0.0); Monitoring (essential_skill, gap 0.0); Reading Comprehension (essential_skill, gap 0.0); ... +6 more","Communications and Media (knowledge, gap 0.76); Education and Training (knowledge, gap 0.41); Administration and Management (knowledge, gap 0.33)","Sales and Marketing (knowledge, gap 1.77)",deterministic_taiwanjobs_job_level_beauty_alias_relevance_phase5,美容師; 美容諮詢師; 護膚; 美體; 醫美; 美療; 芳療師; 美容; 保養; 療程; 皮膚; 客戶; 諮詢; 美體; 雷射,,3,2,7,30000,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,不拘:1; 高職:1; 專科:1,無:2; 2年以上:1,台北市大安區:1; 台北市中山區:1; 台北市松山區:1,Moderate,諮詢美容師 | 凱伊生技有限公司 | 台北市大安區 | 月薪 30000-35000 | 從事肌膚護理、保養、業務等服務並提供美容相關的保養建議。 客戶關係維護 客戶相關業務處理及預約追蹤 具備服務熱忱及敬業精神  | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2679303&HIRE_ID=14618957 || 美容諮詢師 | 采彤股份有限公司 | 台北市中山區 | 月薪 29500-65000 | 產品介紹銷售、美容/美體技術服務 | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2417353&HIRE_ID=11161935 || 芳療師(9/18 中徵) | 國亨開發敦北分公司 | 台北市松山區 | 月薪 38000-42000 | 1.芳療設備環境維護及備置  2.提供顧客芳療體驗及諮詢  3.根據酒店政策與程序提供顧客服務  4.協助水療及健身中心營運  5.處理、回應及匯報任何事件以及後續彙整 工作專業知... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2700509&HIRE_ID=14626601,醫美櫃台行政人員 | 聖宜診所 | 台北市大安區 | 月薪 36000-45000 | 1.客戶資料維護，病歷整理管理  2.每日約客相關業務處理及預約追蹤  3.櫃檯接待及約診作業 4.銷售結帳及退費處理 5.協助相關行政事宜 | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2372115&HIRE_ID=14211289 || 紓壓艙芳療師(9/18中徵) | 時代國際飯店股份有限公司 | 台北市信義區 | 月薪 35000-- | 1.具備專業的按摩和身體治療，對芳療和按摩的知識有透徹的了解 2.運用專業技能和知識以及好的溝通技巧，提供顧客有效的紓壓方案 3.同時與紓壓艙主任共同負責管理顧客的完整體驗，包括櫃... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=922007&HIRE_ID=14632207,1,1,1.0,8,457.0,104900.0,unknown,unknown,"護膚及淨膚保養品調製實務班 (42h, 11080 TWD, High); 香氛保養品調製與化妝品PIF安全建置實務班 (54h, 10500 TWD, High); 保養品與美容皂配方設計班 (78h, 16000 TWD, High); 美容彩妝護膚技能班 (85h, 20200 TWD, High); 美容護膚彩粧技巧班 (91h, 19000 TWD, High); 化妝保養品成分功效與調製實務基礎班 (30h, 7860 TWD, Medium); 化妝保養品成分功效與調製實務基礎班 (30h, 7860 TWD, Medium); 保養品調製應用班 (47h, 12400 TWD, Medium)",Strong,medium,review,Bridge candidate,Partial skill reuse or preparation uncertainty; needs training and Taiwan market validation.,"Nursing communication, care, anatomy, and client-service experience may transfer, but beauty-specific techniques still need training."
6,9,29-1141.00,Registered Nurses,Beauty / Aesthetic / Personal Care,31-9011.00,Massage Therapists,"Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength, or propose client therapy plans.",deterministic_onet_beauty_domain_keyword_retrieval_phase5,bodywork_or_wellness_service,28.3,massage therapist; medical massage therapist; spa,care; skin,massage,,medical massage therapist; massage therapist; spa,tasks; alternate_titles,0.9826,0.997736,0.0075,Partial skill reuse,no,,,4,3,-1,Bachelor's Degree,unknown,unknown,no O*NET required-level-of-education distribution available,low,no major upward training/experience signal,high,no,no,no,Cross-category,"Biology (knowledge, gap 0.09); Customer and Personal Service (knowledge, gap 0.0); Active Listening (essential_skill, gap 0.0); Speaking (essential_skill, gap 0.0); English Language (knowledge, gap 0.0); Social Perceptiveness (transferable_skill, gap 0.0); Service Orientation (transferable_skill, gap 0.0); Medicine and Dentistry (knowledge, gap 0.0); ... +3 more",,,deterministic_taiwanjobs_job_level_beauty_alias_relevance_phase5,按摩; 芳療師; 經絡; 推拿; 舒壓; SPA; spa; 芳療; 保健; 身體; 客戶; 療程; 養護,,2,0,2,36500,42000,monthly_only_excludes_hourly_daily_piece_and_negotiated,專科:2,無:1; 2年以上:1,台北市信義區:1; 台北市松山區:1,Moderate,紓壓艙芳療師(9/18中徵) | 時代國際飯店股份有限公司 | 台北市信義區 | 月薪 35000-- | 1.具備專業的按摩和身體治療，對芳療和按摩的知識有透徹的了解 2.運用專業技能和知識以及好的溝通技巧，提供顧客有效的紓壓方案 3.同時與紓壓艙主任共同負責管理顧客的完整體驗，包括櫃... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=922007&HIRE_ID=14632207 || 芳療師(9/18 中徵) | 國亨開發敦北分公司 | 台北市松山區 | 月薪 38000-42000 | 1.芳療設備環境維護及備置  2.提供顧客芳療體驗及諮詢  3.根據酒店政策與程序提供顧客服務  4.協助水療及健身中心營運  5.處理、回應及匯報任何事件以及後續彙整 工作專業知... | https://job.taiwanjobs.gov.tw/Internet/jobwanted/JobDetail.aspx?EMPLOYER_ID=2700509&HIRE_ID=14626601,,0,0,1.0,8,558.0,105870.0,unknown,unknown,"芳療舒壓與瑞典式按摩班 (84h, 19000 TWD, High); 經絡精油推拿與瑞典式按摩手技實作班 (105h, 18740 TWD, High); 芳療保健人才培訓班 (72h, 15450 TWD, Medium); 經絡調理按摩與牛角輔具運用班 (90h, 15650 TWD, Medium); 傳統整復推拿經絡保健班 (112h, 17630 TWD, Medium); 腳底按摩進階實戰A班 (31h, 6340 TWD, Medium); 腳底按摩調理手法實戰A班 (31h, 6340 TWD, Medium); 紓壓泰式按摩班 (33h, 6720 TWD, Medium)",Strong,medium,review,Bridge candidate,Partial skill reuse or preparation uncertainty; needs training and Taiwan market validation.,"Nursing communication, care, anatomy, and client-service experience may transfer, but beauty-specific techniques still need training."
7,3,29-1141.00,Registered Nurses,Beauty / Aesthetic / Personal Care,11-9179.02,Spa Managers,"Plan, direct, or coordinate activities of a spa facility. Coordinate programs, schedule and direct staff, and oversee financial activities.",deterministic_onet_beauty_domain_keyword_retrieval_phase5,beauty_service_management,50.9,day spa manager; medical spa manager; spa; spa coordinator; spa director; spa manager; spa supervisor,,massage,spa coordinator; spa manager,medical spa manager; day spa manager; spa coordinator; spa supervisor; spa director; spa manager; spa,title; description; tasks; alternate_titles,0.967343,0.864541,0.522058,Partial skill reuse,no,,,4,3,-1,Bachelor's Degree,unknown,unknown,no O*NET required-level-of-education distribution available,low,related work experience +1.3 categories,low,no,no,no,Distant category,"Monitoring (essential_skill, gap 0.25); Administrative (knowledge, gap 0.21); Mathematics (knowledge, gap 0.16); Learning Strategies (essential_skill, gap 0.13); Active Learning (essential_skill, gap 0.12); Mathematics (essential_skill, gap 0.12); Speaking (essential_skill, gap 0.0); Social Perceptiveness (transferable_skill, gap 0.0); ... +8 more","Communications and Media (knowledge, gap 0.89); Time Management (transferable_skill, gap 0.63); Persuasion (transferable_skill, gap 0.62); Customer and Personal Service (knowledge, gap 0.59); English Language (knowledge, gap 0.53); Systems Evaluation (transferable_skill, gap 0.5); Negotiation (transferable_skill, gap 0.5); Systems Analysis (transferable_skill, gap 0.38); ... +1 more","Sales and Marketing (knowledge, gap 2.92); Management of Financial Resources (transferable_skill, gap 1.63); Economics and Accounting (knowledge, gap 1.37); Management of Personnel Resources (transferable_skill, gap 1.26); Management of Material Resources (transferable_skill, gap 1.24); Administration and Management (knowledge, gap 1.11); Personnel and Human Resources (knowledge, gap 1.09); Education and Training (knowledge, gap 1.01)",deterministic_taiwanjobs_job_level_beauty_alias_relevance_phase5,SPA; spa; 芳療; 美容; 美體; 美容諮詢師; 主管; 店長; 管理; 營運; 諮詢; 客戶,Spa/beauty management may appear as service staff in TaiwanJobs; management fit requires review.,0,0,0,,,monthly_only_excludes_hourly_daily_piece_and_negotiated,,,,Insufficient public evidence,,,8,8,1.0,8,368.0,80510.0,unknown,unknown,"芳療舒壓與瑞典式按摩班 (84h, 19000 TWD, High); 癒手舒活spa芳療班 (66h, 15700 TWD, High); 腳底按摩進階實戰A班 (31h, 6340 TWD, Medium); 腳底按摩調理手法實戰A班 (31h, 6340 TWD, Medium); 紓壓泰式按摩班 (33h, 6720 TWD, Medium); 腳底按摩專業理論班 (36h, 6000 TWD, Medium); 產後修復按摩及運動訓練班 (42h, 8610 TWD, Medium); 挽臉美容專業人員實務班 (45h, 11800 TWD, Medium)",Strong,high,review,Bridge candidate,Partial skill reuse or preparation uncertainty; needs training and Taiwan market validation.,"Nursing communication, care, anatomy, and client-service experience may transfer, but beauty-specific techniques still need training."
