district,youth_population_18_35,job_postings,job_openings,jobs_per_1000_youth,avg_salary,median_salary,top_job_category,top_occupation,top_industry,company_count,category_count,salary_valid_count,category_valid_count,work_type_valid_count,salary_sample_size,diversity_sample_size,stability_sample_size,salary_data_coverage,category_data_coverage,work_type_data_coverage,opportunity_score,salary_score,job_diversity_score,employment_stability_score,youth_employment_opportunity_index,index_coverage,index_available_dimensions,opportunity_reliability,salary_reliability,diversity_reliability,stability_reliability,index_reliability_score,index_reliability_level,baseline_index,scenario_b_index,scenario_c_index,scenario_d_index,baseline_rank,scenario_b_rank,scenario_c_rank,scenario_d_rank,rank_min,rank_max,rank_range,index_rank_stability,population_source_file,jobs_source_file,processed_at
汐止區,45112,345,925.0,20.504522078382692,36910.9593495935,35000.0,技術／維修／操作,業務助理,,170,25,246,345,336,246,345,336,71.30434782608695,100.0,97.3913043478261,71.42857142857143,82.14285714285714,85.92212590628486,93.15476190476191,80.26478232411412,100.0,opportunity;salary;diversity;stability,100.0,91.3913043478261,100.0,99.21739130434783,97.7304347826087,High,80.26478232411412,79.00439031451415,81.33621089554268,82.26473300998069,5,7,5,5,5,7,2,92.85714285714286,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_221_汐止區.xml,2026-08-31T02:57:11
瑞芳區,7118,82,226.0,31.750491711154822,35748.08208955224,34314.0,品管／製造／環衛,環境清潔工,,46,19,67,82,80,67,82,80,81.70731707317073,100.0,97.5609756097561,89.28571428571429,35.714285714285715,87.67377872922411,96.25,76.61511288870197,100.0,opportunity;salary;diversity;stability,82.71011216687573,83.38185138370595,86.39567814389511,86.25276273985608,84.14655775243422,High,76.61511288870197,79.3742810950979,71.25797003155911,79.48070504733866,8,6,10,7,6,10,4,85.71428571428572,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_224_瑞芳區.xml,2026-08-31T02:57:11
土城區,52671,283,896.0,17.011258567333066,35579.7023255814,34492.5,技術／維修／操作,家庭照顧服務員,,111,27,215,283,277,215,283,277,75.97173144876325,100.0,97.87985865724382,64.28571428571429,39.285714285714285,81.35108441103755,96.75090252707581,66.31856654698316,100.0,opportunity;salary;diversity;stability,100.0,92.79151943462898,100.0,99.36395759717314,98.10247349823322,High,66.31856654698316,66.715298040717,63.81856654698316,70.89836297158357,15,13,15,16,13,16,3,89.28571428571429,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_236_土城區.xml,2026-08-31T02:57:11
蘆洲區,44696,55,204.0,4.564166815822445,35368.61111111111,34000.0,醫療／美容／保健,家庭照顧服務員,,34,16,36,55,46,36,55,46,65.45454545454545,100.0,83.63636363636363,0.0,21.428571428571427,91.2661856950358,86.95652173913044,36.653858257019586,100.0,opportunity;salary;diversity;stability,78.23066729992652,70.01510712011473,81.37375581417058,75.01721680370335,76.32337738338892,Medium,36.653858257019586,31.01912040083922,38.796715399876724,49.05687434205112,28,28,27,28,27,28,1,96.42857142857143,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_247_蘆洲區.xml,2026-08-31T02:57:11
五股區,22623,88,304.0,13.437651947133448,35734.7987012987,35000.0,技術／維修／操作,業務助理,,72,15,77,88,84,77,88,84,87.5,100.0,95.45454545454545,46.42857142857143,82.14285714285714,84.54912039020189,97.61904761904762,70.65982407804037,100.0,opportunity;salary;diversity;stability,84.95620193726498,87.0338565492238,87.28645010769478,86.2458884228035,86.13511819717142,High,70.65982407804037,66.96808234424456,74.23125264946894,75.24568849801295,10,12,9,10,9,12,3,89.28571428571429,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_248_五股區.xml,2026-08-31T02:57:11
泰山區,17203,67,292.0,16.973783642387954,38374.114583333336,35875.0,技術／維修／操作,加油服務生,,41,16,48,67,63,48,67,63,71.64179104477611,100.0,94.02985074626866,60.71428571428571,100.0,87.92679379073095,93.65079365079364,80.91869209147953,100.0,opportunity;salary;diversity;stability,82.04732978479346,75.7903699495105,83.85168182960419,82.13875169950829,80.8576735221421,High,80.91869209147953,77.59378097337154,84.84726352005094,83.32248258166373,4,8,4,4,4,8,4,85.71428571428572,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_243_泰山區.xml,2026-08-31T02:57:11
林口區,27415,175,630.0,22.98012037205909,38023.07835820896,35750.0,技術／維修／操作,家庭幫傭,,104,18,134,175,170,134,175,170,76.57142857142857,100.0,97.14285714285714,75.0,96.42857142857143,86.31947669867569,95.29411764705881,85.66515584393682,100.0,opportunity;salary;diversity;stability,95.59933964646189,91.40875829164368,95.98856512675434,95.81673654519375,94.6621489386256,High,85.66515584393682,84.02775343757446,87.80801298679395,86.74038082472876,3,4,1,3,1,4,3,89.28571428571429,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_242_新莊區.xml;taiwanjobs_244_林口區.xml,2026-08-31T02:57:11
深坑區,5297,21,56.0,10.57202189918822,34923.13636363636,35000.0,旅遊／餐飲／休閒,清潔人員(深坑區),,13,11,11,21,21,11,21,21,52.38095238095239,100.0,100.0,28.57142857142857,82.14285714285714,88.06016273117959,90.47619047619048,63.1477468319502,100.0,opportunity;salary;diversity;stability,62.16118565358169,50.383164298419665,69.44958662259484,70.08270659834808,61.86258865030877,Medium,63.1477468319502,57.49473869539122,68.50488968909306,69.51328691459197,17,17,12,18,12,18,6,78.57142857142857,ris_village_single_age_ntpc_11507_page1.json,taiwanjobs_222_深坑區.xml,2026-08-31T02:57:11
石碇區,1341,5,15.0,11.185682326621924,32075.0,32425.0,旅遊／餐飲／休閒,約僱職務代理人,,4,4,3,5,4,3,5,4,60.0,100.0,80.0,35.714285714285715,0.0,96.09640474436813,100.0,48.504995234587916,100.0,opportunity;salary;diversity;stability,40.93710226684773,37.34127822935939,52.86742141356572,44.870184931386234,43.01417248650002,Low,48.504995234587916,47.27160356879808,44.93356666315934,59.54320713759615,25,22,25,25,22,25,3,89.28571428571429,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_223_石碇區.xml,2026-08-31T02:57:11
坪林區,1077,6,11.0,10.21355617455896,35816.333333333336,34500.0,其他人員,臨時人員,,4,4,3,6,3,3,6,3,50.0,100.0,50.0,17.857142857142858,46.42857142857143,89.6240625180289,100.0,51.67481250360578,100.0,opportunity;salary;diversity;stability,40.7197031787397,34.34127822935939,54.834777310011056,32.97659882520924,40.78664611461932,Low,51.67481250360578,46.65789509199005,54.53195536074863,61.530075898265814,23,24,21,22,21,24,3,89.28571428571429,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_232_坪林區.xml,2026-08-31T02:57:11
三芝區,4565,22,48.0,10.514786418400876,36030.82352941176,35000.0,醫療／美容／保健,家庭照顧服務員,,12,10,17,22,20,17,22,20,77.27272727272727,100.0,90.9090909090909,25.0,82.14285714285714,87.16340444177244,100.0,62.968395174068775,100.0,opportunity;salary;diversity;stability,61.70841159003854,63.50765800604699,70.01690450467694,66.75219138386262,64.57648874604195,Medium,62.968395174068775,57.003082094837296,68.68268088835448,70.07759276110316,18,18,11,17,11,18,7,75.0,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_221_汐止區.xml;taiwanjobs_252_三芝區.xml,2026-08-31T02:57:11
石門區,2134,9,21.0,9.840674789128396,35357.142857142855,33500.0,旅遊／餐飲／休閒,(9/16徵才)餐飲服務人員,,5,4,7,9,9,7,9,9,77.77777777777779,100.0,100.0,10.714285714285714,8.928571428571429,91.82958340544894,88.88888888888889,38.21710715728027,100.0,opportunity;salary;diversity;stability,48.27172660002284,52.34525067737242,59.38685943419309,59.85848434399085,53.25114784778948,Low,38.21710715728027,34.25062798700782,38.03853572870884,50.32665279941246,27,27,28,27,27,28,1,96.42857142857143,ris_village_single_age_ntpc_11507_page1.json,taiwanjobs_253_石門區.xml,2026-08-31T02:57:11
八里區,9948,80,232.0,23.321270607157217,40280.43965517241,34982.5,技術／維修／操作,理貨員,,41,14,58,80,73,58,80,73,72.5,100.0,91.25,78.57142857142857,67.85714285714286,83.39629813319229,94.52054794520548,79.25019896127642,100.0,opportunity;salary;diversity;stability,82.60209262160836,78.63891797085726,86.08438098205023,83.18742603887847,82.39555664359948,High,79.25019896127642,79.54466976890252,78.17877038984786,81.06585617185593,7,5,6,6,5,7,2,92.85714285714286,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_249_八里區.xml,2026-08-31T02:57:11
平溪區,546,6,13.0,23.809523809523807,35000.0,35000.0,其他人員,臨時人員,,5,4,1,6,2,1,6,2,16.666666666666664,100.0,33.33333333333333,82.14285714285714,82.14285714285714,89.6240625180289,100.0,86.31766964646292,100.0,opportunity;salary;diversity;stability,40.73016666658265,14.670639114679695,54.834777310011056,24.246117514232314,34.56359953444004,Low,86.31766964646292,85.94360937770433,86.31766964646292,87.95864732683724,2,2,3,1,1,3,2,92.85714285714286,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_226_平溪區.xml,2026-08-31T02:57:11
雙溪區,1215,5,8.0,6.584362139917696,34555.0,34555.0,醫療／美容／保健,約僱學務創新輔導員,,4,2,2,5,3,2,5,3,40.0,100.0,60.0,3.571428571428571,53.57142857142857,97.09505944546689,100.0,49.24044046052195,100.0,opportunity;salary;diversity;stability,37.80935607859274,27.32760035477456,52.86742141356572,35.97659882520924,37.92561662662527,Low,49.24044046052195,42.06425891682003,54.240440460521945,60.91423211935435,24,25,23,24,23,25,2,92.85714285714286,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_227_雙溪區.xml,2026-08-31T02:57:11
貢寮區,1691,10,29.0,17.14961561206387,34035.71428571428,34000.0,旅遊／餐飲／休閒,約僱人員,,7,7,7,10,9,7,10,9,70.0,100.0,90.0,67.85714285714286,21.428571428571427,89.83289127685205,100.0,65.46657825537041,100.0,opportunity;salary;diversity;stability,50.57807307599614,50.011917344039084,60.60326045454167,56.85848434399085,53.383633308915186,Low,65.46657825537041,66.68921940581352,60.82372111251327,71.59272452591276,16,14,17,13,13,17,4,85.71428571428572,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_228_貢寮區.xml,2026-08-31T02:57:11
金山區,4170,53,152.0,36.45083932853717,35119.21428571428,33500.0,醫療／美容／保健,醫師,,23,15,35,53,48,35,53,48,66.0377358490566,100.0,90.56603773584906,92.85714285714286,8.928571428571429,81.81080997914813,89.58333333333334,69.17466199582964,100.0,opportunity;salary;diversity;stability,76.121316846275,69.80779969362548,80.90961190459085,77.63650451456081,75.72787472001866,Medium,69.17466199582964,73.92340721115794,60.781804852972485,72.10276680326825,11,9,18,12,9,18,9,67.85714285714286,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_208_金山區.xml,2026-08-31T02:57:11
萬里區,3897,47,97.0,24.890941750064155,34632.65625,33500.0,旅遊／餐飲／休閒,家庭幫傭,,23,14,32,47,43,32,47,43,68.08510638297872,100.0,91.48936170212765,85.71428571428571,8.928571428571429,83.65918843550033,97.67441860465115,67.90085762065488,100.0,opportunity;salary;diversity;stability,72.52874079273008,69.20804699542173,79.40639991772525,76.51781452159099,73.67246022773116,Medium,67.90085762065488,71.84289819887987,60.222286192083445,72.13264025158033,12,10,19,11,10,19,9,67.85714285714286,ris_village_single_age_ntpc_11507_page1.json,dgpa_public_sector_jobs.xml;taiwanjobs_207_萬里區.xml;taiwanjobs_208_金山區.xml,2026-08-31T02:57:11
烏來區,1434,22,67.0,46.72245467224546,36488.05263157895,34500.0,旅遊／餐飲／休閒,挪威森林(板橋館)夜班房務員9H月休八天,,9,6,19,22,22,19,22,22,86.36363636363636,100.0,100.0,100.0,46.42857142857143,66.90731699279175,100.0,79.98860625570121,100.0,opportunity;salary;diversity;stability,62.06487971506047,67.70489779434173,70.01690450467694,70.65912927250784,66.35442662642119,Medium,79.98860625570121,84.32181183463305,74.63146339855835,79.35790938355181,6,3,8,8,3,8,5,82.14285714285714,ris_village_single_age_ntpc_11507_page1.json,taiwanjobs_231_新店區.xml;taiwanjobs_233_烏來區.xml,2026-08-31T02:57:11
